,Transaction ID,Item,Quantity,Price Per Unit,Total Spent,Payment Method,Location,Transaction Date,Month
2455,TXN_6295420,Juice,1.0,3.0,3.0,Digital Wallet,Takeaway,2023-09-27,2023-09
2456,TXN_1542042,Cake,4.0,3.0,12.0,Credit Card,Takeaway,2023-07-26,2023-07
2458,TXN_6579109,Juice,1.0,3.0,3.0,Credit Card,Takeaway,2023-02-22,2023-02
2459,TXN_5577030,Cookie,4.0,1.0,4.0,Digital Wallet,Takeaway,2023-02-15,2023-02
2460,TXN_3910230,Sandwich,5.0,4.0,20.0,Cash,Takeaway,2023-01-05,2023-01
2466,TXN_9861782,Sandwich,4.0,4.0,16.0,Credit Card,In-store,2023-07-15,2023-07
2469,TXN_6112765,Coffee,2.0,2.0,4.0,Credit Card,Takeaway,2023-07-21,2023-07
2472,TXN_2847831,Coffee,1.0,2.0,2.0,Cash,In-store,2023-02-19,2023-02
2473,TXN_3385167,Tea,3.0,1.5,4.5,Cash,In-store,2023-04-26,2023-04
2474,TXN_1938071,Sandwich,4.0,4.0,16.0,Credit Card,In-store,2023-12-25,2023-12
2476,TXN_4887268,Salad,1.0,5.0,5.0,Credit Card,In-store,2023-10-16,2023-10
2478,TXN_6651961,Salad,4.0,5.0,20.0,Credit Card,In-store,2023-02-08,2023-02
2481,TXN_5604797,Coffee,1.0,2.0,2.0,Cash,In-store,2023-10-13,2023-10
2482,TXN_6303383,Cake,4.0,3.0,12.0,Digital Wallet,In-store,2023-09-22,2023-09
2485,TXN_5403707,Smoothie,3.0,4.0,12.0,Cash,In-store,2023-03-20,2023-03
2486,TXN_4084052,Juice,2.0,3.0,6.0,Digital Wallet,In-store,2023-06-30,2023-06
2489,TXN_7113656,Juice,2.0,3.0,6.0,Credit Card,Takeaway,2023-01-22,2023-01
2493,TXN_3226989,Salad,1.0,5.0,5.0,Credit Card,Takeaway,2023-04-17,2023-04
2495,TXN_8751289,Tea,2.0,1.5,3.0,Cash,In-store,2023-09-10,2023-09
2496,TXN_9996195,Juice,5.0,3.0,15.0,Digital Wallet,In-store,2023-03-16,2023-03
2498,TXN_4243591,Cake,4.0,3.0,12.0,Credit Card,In-store,2023-10-11,2023-10
2499,TXN_4138399,Cookie,5.0,1.0,5.0,Credit Card,Takeaway,2023-07-03,2023-07
2500,TXN_1724233,Cookie,5.0,1.0,5.0,Digital Wallet,Takeaway,2023-02-01,2023-02
2501,TXN_1564506,Smoothie,5.0,4.0,20.0,Digital Wallet,In-store,2023-02-01,2023-02
2505,TXN_7622389,Tea,4.0,1.5,6.0,Digital Wallet,In-store,2023-02-26,2023-02
2507,TXN_2204457,Coffee,4.0,2.0,8.0,Cash,Takeaway,2023-01-06,2023-01
2510,TXN_7503593,Cookie,5.0,1.0,5.0,Digital Wallet,Takeaway,2023-04-19,2023-04
2513,TXN_5589433,Cake,2.0,3.0,6.0,Cash,In-store,2023-03-13,2023-03
2517,TXN_8043642,Salad,4.0,5.0,20.0,Cash,In-store,2023-06-12,2023-06
2526,TXN_3365018,Juice,5.0,3.0,15.0,Cash,Takeaway,2023-02-06,2023-02
2528,TXN_4592205,Cookie,3.0,1.0,3.0,Credit Card,In-store,2023-12-30,2023-12
2529,TXN_6660755,Cookie,2.0,1.0,2.0,Credit Card,In-store,2023-05-16,2023-05
2531,TXN_3290872,Cake,2.0,3.0,6.0,Credit Card,In-store,2023-06-13,2023-06
2535,TXN_1145592,Juice,1.0,3.0,3.0,Credit Card,Takeaway,2023-09-11,2023-09
2537,TXN_9485101,Cookie,2.0,1.0,2.0,Cash,Takeaway,2023-11-01,2023-11
2538,TXN_9667219,Juice,4.0,3.0,12.0,Cash,In-store,2023-10-09,2023-10
2539,TXN_3119835,Tea,2.0,1.5,3.0,Digital Wallet,In-store,2023-03-01,2023-03
2541,TXN_7014091,Coffee,5.0,2.0,10.0,Cash,In-store,2023-11-26,2023-11
2548,TXN_9911498,Coffee,4.0,2.0,8.0,Cash,In-store,2023-03-27,2023-03
2553,TXN_9865855,Coffee,3.0,2.0,6.0,Digital Wallet,Takeaway,2023-04-18,2023-04
2555,TXN_8913492,Sandwich,4.0,4.0,16.0,Credit Card,In-store,2023-12-25,2023-12
2556,TXN_5625086,Sandwich,1.0,4.0,4.0,Credit Card,In-store,2023-06-17,2023-06
2561,TXN_1009421,Cookie,4.0,1.0,4.0,Cash,Takeaway,2023-02-21,2023-02
2562,TXN_5369243,Smoothie,4.0,4.0,16.0,Cash,Takeaway,2023-11-16,2023-11
2574,TXN_5475746,Cake,3.0,3.0,9.0,Credit Card,In-store,2023-08-20,2023-08
2575,TXN_6071339,Coffee,5.0,2.0,10.0,Cash,Takeaway,2023-10-17,2023-10
2576,TXN_9540864,Cookie,2.0,1.0,2.0,Digital Wallet,Takeaway,2023-08-07,2023-08
2577,TXN_6389404,Juice,5.0,3.0,15.0,Digital Wallet,In-store,2023-11-20,2023-11
2584,TXN_3499226,Juice,1.0,3.0,3.0,Credit Card,Takeaway,2023-09-08,2023-09
2589,TXN_1324760,Tea,4.0,1.5,6.0,Cash,In-store,2023-01-18,2023-01
2590,TXN_8292441,Salad,1.0,5.0,5.0,Cash,Takeaway,2023-09-15,2023-09
2593,TXN_3792125,Salad,5.0,5.0,25.0,Credit Card,In-store,2023-08-25,2023-08
2595,TXN_8608811,Cake,5.0,3.0,15.0,Credit Card,Takeaway,2023-01-05,2023-01
2597,TXN_4368729,Coffee,3.0,2.0,6.0,Digital Wallet,In-store,2023-06-11,2023-06
2598,TXN_5072156,Tea,3.0,1.5,4.5,Digital Wallet,Takeaway,2023-07-24,2023-07
2600,TXN_4877933,Juice,5.0,3.0,15.0,Digital Wallet,In-store,2023-01-12,2023-01
2601,TXN_8854384,Juice,5.0,3.0,15.0,Cash,Takeaway,2023-08-12,2023-08
2604,TXN_5644235,Salad,4.0,5.0,20.0,Cash,In-store,2023-03-25,2023-03
2608,TXN_5117595,Smoothie,4.0,4.0,16.0,Cash,In-store,2023-02-05,2023-02
2616,TXN_4356564,Coffee,2.0,2.0,4.0,Credit Card,Takeaway,2023-10-05,2023-10
2619,TXN_6762250,Cookie,2.0,1.0,2.0,Digital Wallet,Takeaway,2023-06-17,2023-06
2620,TXN_8553273,Juice,5.0,3.0,15.0,Cash,In-store,2023-01-15,2023-01
2623,TXN_2432379,Coffee,1.0,2.0,2.0,Credit Card,In-store,2023-10-24,2023-10
2628,TXN_2155393,Juice,2.0,3.0,6.0,Digital Wallet,In-store,2023-07-12,2023-07
2634,TXN_2544724,Cake,5.0,3.0,15.0,Digital Wallet,Takeaway,2023-12-28,2023-12
2635,TXN_1035504,Smoothie,2.0,4.0,8.0,Digital Wallet,Takeaway,2023-03-30,2023-03
2638,TXN_9781961,Coffee,1.0,2.0,2.0,Credit Card,In-store,2023-12-01,2023-12
2639,TXN_5313347,Cookie,2.0,1.0,2.0,Digital Wallet,Takeaway,2023-12-10,2023-12
2649,TXN_8907996,Sandwich,4.0,4.0,16.0,Cash,In-store,2023-02-19,2023-02
2652,TXN_5348915,Juice,1.0,3.0,3.0,Digital Wallet,Takeaway,2023-07-09,2023-07
2654,TXN_6323914,Juice,1.0,3.0,3.0,Credit Card,In-store,2023-03-19,2023-03
2655,TXN_7804128,Sandwich,5.0,4.0,20.0,Digital Wallet,In-store,2023-02-12,2023-02
2659,TXN_2210265,Juice,2.0,3.0,6.0,Credit Card,Takeaway,2023-06-14,2023-06
2660,TXN_5534515,Smoothie,1.0,4.0,4.0,Credit Card,Takeaway,2023-02-09,2023-02
2661,TXN_9561380,Sandwich,1.0,4.0,4.0,Digital Wallet,Takeaway,2023-08-11,2023-08
2662,TXN_3038078,Cookie,1.0,1.0,1.0,Credit Card,Takeaway,2023-04-06,2023-04
2667,TXN_9749175,Cake,1.0,3.0,3.0,Credit Card,In-store,2023-09-07,2023-09
2670,TXN_3703964,Sandwich,2.0,4.0,8.0,Credit Card,Takeaway,2023-09-23,2023-09
2678,TXN_9202496,Cake,5.0,3.0,15.0,Credit Card,In-store,2023-07-19,2023-07
2679,TXN_2914953,Cake,2.0,3.0,6.0,Cash,In-store,2023-07-25,2023-07
2681,TXN_1216051,Cake,4.0,3.0,12.0,Digital Wallet,Takeaway,2023-10-28,2023-10
2686,TXN_3358494,Coffee,5.0,2.0,10.0,Digital Wallet,Takeaway,2023-06-22,2023-06
2689,TXN_1324968,Cookie,3.0,1.0,3.0,Credit Card,In-store,2023-01-05,2023-01
2691,TXN_3985920,Salad,5.0,5.0,25.0,Digital Wallet,In-store,2023-03-29,2023-03
2692,TXN_7335526,Sandwich,4.0,4.0,16.0,Cash,In-store,2023-06-03,2023-06
2695,TXN_2408294,Sandwich,4.0,4.0,16.0,Digital Wallet,In-store,2023-12-26,2023-12
2696,TXN_7380756,Salad,1.0,5.0,5.0,Digital Wallet,Takeaway,2023-10-16,2023-10
2699,TXN_1315214,Tea,2.0,1.5,3.0,Digital Wallet,In-store,2023-11-03,2023-11
2700,TXN_7602467,Cookie,1.0,1.0,1.0,Credit Card,Takeaway,2023-10-17,2023-10
2702,TXN_4979250,Tea,3.0,1.5,4.5,Cash,In-store,2023-11-01,2023-11
2703,TXN_2809397,Salad,2.0,5.0,10.0,Digital Wallet,Takeaway,2023-09-13,2023-09
2704,TXN_8752130,Juice,2.0,3.0,6.0,Credit Card,Takeaway,2023-10-23,2023-10
2713,TXN_3106811,Juice,3.0,3.0,9.0,Cash,Takeaway,2023-09-27,2023-09
2716,TXN_6309965,Cake,5.0,3.0,15.0,Digital Wallet,Takeaway,2023-06-14,2023-06
2722,TXN_9207050,Cookie,5.0,1.0,5.0,Digital Wallet,In-store,2023-07-21,2023-07
2725,TXN_1938148,Cake,2.0,3.0,6.0,Credit Card,Takeaway,2023-06-07,2023-06
2726,TXN_2024598,Sandwich,1.0,4.0,4.0,Digital Wallet,In-store,2023-01-01,2023-01
2727,TXN_7145872,Salad,5.0,5.0,25.0,Digital Wallet,Takeaway,2023-04-15,2023-04
2730,TXN_9004306,Coffee,4.0,2.0,8.0,Credit Card,In-store,2023-05-26,2023-05
2733,TXN_6360436,Cake,2.0,3.0,6.0,Digital Wallet,Takeaway,2023-09-13,2023-09
2735,TXN_5822344,Sandwich,5.0,4.0,20.0,Cash,In-store,2023-09-27,2023-09
2744,TXN_9773606,Tea,2.0,1.5,3.0,Cash,Takeaway,2023-12-04,2023-12
2745,TXN_9762035,Smoothie,1.0,4.0,4.0,Cash,Takeaway,2023-08-21,2023-08
2749,TXN_9657636,Cake,1.0,3.0,3.0,Cash,Takeaway,2023-07-08,2023-07
2750,TXN_1375992,Coffee,5.0,2.0,10.0,Credit Card,In-store,2023-03-23,2023-03
2751,TXN_2077318,Juice,2.0,3.0,6.0,Digital Wallet,In-store,2023-08-24,2023-08
2756,TXN_9096951,Smoothie,3.0,4.0,12.0,Cash,Takeaway,2023-06-28,2023-06
2762,TXN_7090165,Sandwich,5.0,4.0,20.0,Digital Wallet,In-store,2023-08-30,2023-08
2763,TXN_9533792,Cookie,3.0,1.0,3.0,Digital Wallet,In-store,2023-09-01,2023-09
2769,TXN_2849719,Coffee,5.0,2.0,10.0,Digital Wallet,Takeaway,2023-06-23,2023-06
2770,TXN_9623460,Sandwich,3.0,4.0,12.0,Digital Wallet,In-store,2023-01-17,2023-01
2771,TXN_3359704,Salad,3.0,5.0,15.0,Digital Wallet,In-store,2023-07-23,2023-07
2773,TXN_2444408,Sandwich,2.0,4.0,8.0,Digital Wallet,In-store,2023-05-11,2023-05
2775,TXN_3296152,Salad,3.0,5.0,15.0,Credit Card,In-store,2023-10-20,2023-10
2777,TXN_2887411,Smoothie,2.0,4.0,8.0,Cash,In-store,2023-01-16,2023-01
2778,TXN_7543369,Tea,5.0,1.5,7.5,Digital Wallet,Takeaway,2023-11-18,2023-11
2779,TXN_9561441,Tea,5.0,1.5,7.5,Cash,In-store,2023-11-11,2023-11
2782,TXN_3633955,Sandwich,4.0,4.0,16.0,Cash,In-store,2023-09-20,2023-09
2783,TXN_2761949,Salad,3.0,5.0,15.0,Credit Card,In-store,2023-10-01,2023-10
2785,TXN_8062897,Smoothie,2.0,4.0,8.0,Digital Wallet,Takeaway,2023-10-02,2023-10
2792,TXN_6866209,Smoothie,5.0,4.0,20.0,Digital Wallet,In-store,2023-05-20,2023-05
2794,TXN_9681880,Coffee,3.0,2.0,6.0,Cash,In-store,2023-03-21,2023-03
2797,TXN_2936975,Tea,1.0,1.5,1.5,Digital Wallet,Takeaway,2023-10-05,2023-10
2798,TXN_5027125,Salad,3.0,5.0,15.0,Cash,In-store,2023-07-06,2023-07
2800,TXN_2092288,Coffee,1.0,2.0,2.0,Credit Card,Takeaway,2023-03-30,2023-03
2801,TXN_5701303,Coffee,1.0,2.0,2.0,Digital Wallet,Takeaway,2023-09-08,2023-09
2803,TXN_5161371,Cake,2.0,3.0,6.0,Credit Card,In-store,2023-01-17,2023-01
2807,TXN_1719440,Cookie,5.0,1.0,5.0,Digital Wallet,Takeaway,2023-07-13,2023-07
2812,TXN_3729074,Salad,3.0,5.0,15.0,Credit Card,In-store,2023-04-15,2023-04
2814,TXN_7217537,Salad,3.0,5.0,15.0,Cash,In-store,2023-12-19,2023-12
2816,TXN_8845592,Sandwich,5.0,4.0,20.0,Credit Card,In-store,2023-11-12,2023-11
2819,TXN_5664467,Tea,4.0,1.5,6.0,Digital Wallet,Takeaway,2023-11-06,2023-11
2823,TXN_2680626,Cake,3.0,3.0,9.0,Cash,In-store,2023-01-08,2023-01
2826,TXN_5009367,Juice,3.0,3.0,9.0,Credit Card,In-store,2023-04-19,2023-04
2829,TXN_6401072,Smoothie,4.0,4.0,16.0,Cash,Takeaway,2023-07-28,2023-07
2833,TXN_8684125,Salad,2.0,5.0,10.0,Credit Card,In-store,2023-03-08,2023-03
2836,TXN_8167808,Cake,3.0,3.0,9.0,Cash,In-store,2023-02-03,2023-02
2840,TXN_7753587,Cake,1.0,3.0,3.0,Credit Card,Takeaway,2023-03-28,2023-03
2843,TXN_8242126,Salad,4.0,5.0,20.0,Digital Wallet,In-store,2023-11-20,2023-11
2845,TXN_5685028,Cake,5.0,3.0,15.0,Digital Wallet,Takeaway,2023-08-12,2023-08
2847,TXN_9245124,Tea,4.0,1.5,6.0,Digital Wallet,In-store,2023-04-19,2023-04
2848,TXN_8619762,Smoothie,4.0,4.0,16.0,Cash,Takeaway,2023-08-05,2023-08
2849,TXN_5983031,Juice,3.0,3.0,9.0,Digital Wallet,In-store,2023-03-09,2023-03
2868,TXN_7368648,Tea,1.0,1.5,1.5,Digital Wallet,In-store,2023-03-09,2023-03
2871,TXN_1217959,Juice,2.0,3.0,6.0,Digital Wallet,Takeaway,2023-07-28,2023-07
2874,TXN_5171332,Tea,5.0,1.5,7.5,Cash,Takeaway,2023-02-05,2023-02
2879,TXN_9069297,Cookie,4.0,1.0,4.0,Credit Card,In-store,2023-01-27,2023-01
2882,TXN_1678985,Juice,2.0,3.0,6.0,Cash,In-store,2023-07-16,2023-07
2884,TXN_3131555,Sandwich,2.0,4.0,8.0,Cash,Takeaway,2023-12-04,2023-12
2888,TXN_3313000,Coffee,5.0,2.0,10.0,Credit Card,In-store,2023-01-08,2023-01
2889,TXN_3120023,Cookie,3.0,1.0,3.0,Cash,In-store,2023-09-30,2023-09
2890,TXN_7483257,Sandwich,2.0,4.0,8.0,Digital Wallet,Takeaway,2023-06-05,2023-06
2891,TXN_3430842,Cookie,2.0,1.0,2.0,Cash,Takeaway,2023-08-02,2023-08
2896,TXN_5118667,Coffee,4.0,2.0,8.0,Cash,In-store,2023-12-12,2023-12
2898,TXN_6989438,Sandwich,4.0,4.0,16.0,Cash,Takeaway,2023-12-17,2023-12
2905,TXN_4223466,Juice,4.0,3.0,12.0,Digital Wallet,Takeaway,2023-05-31,2023-05
2910,TXN_6608817,Sandwich,5.0,4.0,20.0,Credit Card,Takeaway,2023-07-17,2023-07
2913,TXN_9774691,Cake,3.0,3.0,9.0,Credit Card,Takeaway,2023-04-11,2023-04
2917,TXN_7666909,Juice,4.0,3.0,12.0,Credit Card,Takeaway,2023-08-29,2023-08
2918,TXN_9365558,Salad,4.0,5.0,20.0,Credit Card,Takeaway,2023-02-12,2023-02
2919,TXN_6837601,Salad,1.0,5.0,5.0,Digital Wallet,Takeaway,2023-02-05,2023-02
2920,TXN_1713983,Salad,2.0,5.0,10.0,Cash,In-store,2023-05-11,2023-05
2925,TXN_3465980,Cookie,4.0,1.0,4.0,Cash,Takeaway,2023-07-08,2023-07
2927,TXN_7343905,Cake,1.0,3.0,3.0,Digital Wallet,In-store,2023-01-17,2023-01
2930,TXN_9470590,Salad,1.0,5.0,5.0,Credit Card,Takeaway,2023-04-11,2023-04
2931,TXN_7212607,Coffee,3.0,2.0,6.0,Digital Wallet,In-store,2023-08-06,2023-08
2932,TXN_8384628,Salad,3.0,5.0,15.0,Credit Card,Takeaway,2023-08-22,2023-08
2933,TXN_4200340,Cake,5.0,3.0,15.0,Cash,Takeaway,2023-07-06,2023-07
2937,TXN_4778105,Juice,4.0,3.0,12.0,Digital Wallet,In-store,2023-10-08,2023-10
2941,TXN_4278785,Salad,3.0,5.0,15.0,Cash,In-store,2023-04-29,2023-04
2942,TXN_4462052,Cookie,1.0,1.0,1.0,Cash,In-store,2023-10-12,2023-10
2952,TXN_9676940,Juice,2.0,3.0,6.0,Credit Card,Takeaway,2023-08-16,2023-08
2955,TXN_5708913,Cake,2.0,3.0,6.0,Cash,In-store,2023-04-29,2023-04
2961,TXN_9176418,Smoothie,1.0,4.0,4.0,Digital Wallet,Takeaway,2023-03-02,2023-03
2964,TXN_7321789,Juice,3.0,3.0,9.0,Digital Wallet,Takeaway,2023-05-10,2023-05
2970,TXN_2152670,Tea,3.0,1.5,4.5,Credit Card,In-store,2023-12-24,2023-12
2980,TXN_8696065,Smoothie,3.0,4.0,12.0,Credit Card,In-store,2023-11-04,2023-11
2982,TXN_1250407,Cookie,1.0,1.0,1.0,Credit Card,Takeaway,2023-11-21,2023-11
2983,TXN_1617476,Cake,2.0,3.0,6.0,Digital Wallet,In-store,2023-02-10,2023-02
2985,TXN_9725461,Smoothie,3.0,4.0,12.0,Credit Card,In-store,2023-11-25,2023-11
2987,TXN_1000555,Tea,1.0,1.5,1.5,Credit Card,In-store,2023-10-19,2023-10
2995,TXN_9315755,Cake,5.0,3.0,15.0,Cash,Takeaway,2023-09-26,2023-09
2998,TXN_3530720,Smoothie,5.0,4.0,20.0,Digital Wallet,In-store,2023-10-18,2023-10
3000,TXN_1410102,Salad,1.0,5.0,5.0,Cash,In-store,2023-06-23,2023-06
3001,TXN_6977098,Juice,5.0,3.0,15.0,Credit Card,In-store,2023-06-09,2023-06
3002,TXN_7735237,Cake,2.0,3.0,6.0,Digital Wallet,In-store,2023-01-13,2023-01
3007,TXN_5282529,Tea,5.0,1.5,7.5,Credit Card,Takeaway,2023-04-13,2023-04
3008,TXN_9495930,Coffee,2.0,2.0,4.0,Digital Wallet,Takeaway,2023-10-23,2023-10
3009,TXN_3514492,Juice,3.0,3.0,9.0,Digital Wallet,In-store,2023-02-23,2023-02
3014,TXN_4227337,Tea,4.0,1.5,6.0,Digital Wallet,Takeaway,2023-12-15,2023-12
3021,TXN_1011236,Cake,1.0,3.0,3.0,Cash,In-store,2023-02-08,2023-02
3024,TXN_6872268,Juice,2.0,3.0,6.0,Digital Wallet,In-store,2023-01-07,2023-01
3028,TXN_6113452,Sandwich,2.0,4.0,8.0,Cash,Takeaway,2023-09-21,2023-09
3036,TXN_3026930,Cake,2.0,3.0,6.0,Cash,In-store,2023-03-23,2023-03
3038,TXN_2801651,Juice,4.0,3.0,12.0,Digital Wallet,Takeaway,2023-07-10,2023-07
3039,TXN_5005592,Coffee,1.0,2.0,2.0,Credit Card,In-store,2023-06-05,2023-06
3042,TXN_2182790,Tea,5.0,1.5,7.5,Credit Card,Takeaway,2023-05-05,2023-05
3046,TXN_4600614,Sandwich,3.0,4.0,12.0,Digital Wallet,Takeaway,2023-01-27,2023-01
3051,TXN_4628310,Juice,4.0,3.0,12.0,Credit Card,Takeaway,2023-04-20,2023-04
3056,TXN_6013295,Juice,2.0,3.0,6.0,Cash,Takeaway,2023-11-07,2023-11
3057,TXN_3200195,Juice,3.0,3.0,9.0,Digital Wallet,In-store,2023-05-04,2023-05
3058,TXN_4860027,Cookie,5.0,1.0,5.0,Digital Wallet,Takeaway,2023-07-28,2023-07
3061,TXN_4708410,Cake,4.0,3.0,12.0,Digital Wallet,In-store,2023-10-08,2023-10
3063,TXN_1898329,Cake,5.0,3.0,15.0,Cash,In-store,2023-04-12,2023-04
3066,TXN_8147057,Juice,1.0,3.0,3.0,Digital Wallet,In-store,2023-08-21,2023-08
3069,TXN_5588239,Cookie,1.0,1.0,1.0,Digital Wallet,Takeaway,2023-03-31,2023-03
3070,TXN_6575599,Coffee,5.0,2.0,10.0,Digital Wallet,Takeaway,2023-10-09,2023-10
3072,TXN_1229376,Cake,3.0,3.0,9.0,Digital Wallet,In-store,2023-08-14,2023-08
3073,TXN_1732216,Coffee,3.0,2.0,6.0,Digital Wallet,Takeaway,2023-08-30,2023-08
3076,TXN_9783697,Sandwich,1.0,4.0,4.0,Digital Wallet,Takeaway,2023-07-14,2023-07
3080,TXN_3224756,Cake,2.0,3.0,6.0,Credit Card,Takeaway,2023-11-20,2023-11
3083,TXN_9054741,Juice,1.0,3.0,3.0,Credit Card,Takeaway,2023-06-24,2023-06
3084,TXN_9063299,Cake,4.0,3.0,12.0,Digital Wallet,In-store,2023-06-15,2023-06
3090,TXN_4343391,Cookie,5.0,1.0,5.0,Cash,Takeaway,2023-06-01,2023-06
3091,TXN_6877186,Cookie,2.0,1.0,2.0,Credit Card,In-store,2023-12-05,2023-12
3094,TXN_9818498,Smoothie,3.0,4.0,12.0,Credit Card,Takeaway,2023-09-01,2023-09
3096,TXN_9155044,Sandwich,3.0,4.0,12.0,Credit Card,In-store,2023-02-28,2023-02
3097,TXN_5625110,Salad,3.0,5.0,15.0,Digital Wallet,Takeaway,2023-11-07,2023-11
3101,TXN_8085790,Cookie,4.0,1.0,4.0,Cash,Takeaway,2023-10-27,2023-10
3108,TXN_6047742,Smoothie,5.0,4.0,20.0,Digital Wallet,In-store,2023-12-11,2023-12
3109,TXN_5086795,Salad,1.0,5.0,5.0,Cash,In-store,2023-04-29,2023-04
3110,TXN_1943186,Salad,2.0,5.0,10.0,Cash,In-store,2023-12-16,2023-12
3117,TXN_3851247,Cake,1.0,3.0,3.0,Credit Card,In-store,2023-11-23,2023-11
3119,TXN_5683213,Smoothie,2.0,4.0,8.0,Credit Card,In-store,2023-10-30,2023-10
3125,TXN_2570829,Juice,1.0,3.0,3.0,Cash,Takeaway,2023-03-31,2023-03
3127,TXN_5190685,Cookie,4.0,1.0,4.0,Cash,Takeaway,2023-11-12,2023-11
3133,TXN_9203396,Coffee,5.0,2.0,10.0,Digital Wallet,In-store,2023-01-08,2023-01
3135,TXN_6391414,Smoothie,4.0,4.0,16.0,Cash,In-store,2023-05-08,2023-05
3136,TXN_2613440,Juice,3.0,3.0,9.0,Credit Card,In-store,2023-04-15,2023-04
3143,TXN_2666340,Cake,2.0,3.0,6.0,Cash,Takeaway,2023-09-29,2023-09
3145,TXN_6539480,Cake,5.0,3.0,15.0,Cash,Takeaway,2023-08-25,2023-08
3153,TXN_8157817,Tea,2.0,1.5,3.0,Credit Card,Takeaway,2023-08-30,2023-08
3155,TXN_7620529,Sandwich,2.0,4.0,8.0,Cash,In-store,2023-08-08,2023-08
3156,TXN_1491670,Juice,5.0,3.0,15.0,Credit Card,Takeaway,2023-06-28,2023-06
3158,TXN_2366464,Juice,1.0,3.0,3.0,Cash,Takeaway,2023-06-05,2023-06
3159,TXN_7994275,Smoothie,3.0,4.0,12.0,Credit Card,In-store,2023-09-18,2023-09
3160,TXN_6034920,Cookie,1.0,1.0,1.0,Credit Card,In-store,2023-09-09,2023-09
3161,TXN_4673812,Cookie,2.0,1.0,2.0,Digital Wallet,Takeaway,2023-05-01,2023-05
3164,TXN_6543620,Cookie,2.0,1.0,2.0,Cash,Takeaway,2023-04-08,2023-04
3166,TXN_1605048,Cake,4.0,3.0,12.0,Cash,Takeaway,2023-03-16,2023-03
3168,TXN_2401829,Smoothie,5.0,4.0,20.0,Digital Wallet,Takeaway,2023-02-07,2023-02
3171,TXN_5438111,Smoothie,3.0,4.0,12.0,Cash,In-store,2023-01-06,2023-01
3173,TXN_5793057,Sandwich,3.0,4.0,12.0,Credit Card,In-store,2023-02-25,2023-02
3176,TXN_1660757,Cake,4.0,3.0,12.0,Digital Wallet,Takeaway,2023-11-08,2023-11
3178,TXN_1469462,Cake,1.0,3.0,3.0,Credit Card,Takeaway,2023-09-05,2023-09
3180,TXN_3711712,Salad,5.0,5.0,25.0,Digital Wallet,In-store,2023-08-20,2023-08
3183,TXN_1268480,Salad,5.0,5.0,25.0,Cash,In-store,2023-04-18,2023-04
3188,TXN_4869107,Smoothie,3.0,4.0,12.0,Digital Wallet,In-store,2023-01-30,2023-01
3192,TXN_3088330,Tea,5.0,1.5,7.5,Digital Wallet,In-store,2023-12-08,2023-12
3196,TXN_7650834,Salad,2.0,5.0,10.0,Cash,Takeaway,2023-10-29,2023-10
3197,TXN_4107857,Tea,1.0,1.5,1.5,Credit Card,Takeaway,2023-01-29,2023-01
3199,TXN_4635037,Juice,1.0,3.0,3.0,Digital Wallet,In-store,2023-05-17,2023-05
3201,TXN_9103776,Tea,4.0,1.5,6.0,Credit Card,In-store,2023-05-03,2023-05
3202,TXN_7538221,Cake,5.0,3.0,15.0,Credit Card,Takeaway,2023-03-31,2023-03
3204,TXN_8807333,Sandwich,5.0,4.0,20.0,Digital Wallet,In-store,2023-03-18,2023-03
3205,TXN_8006056,Juice,4.0,3.0,12.0,Credit Card,Takeaway,2023-12-19,2023-12
3211,TXN_6022618,Smoothie,1.0,4.0,4.0,Digital Wallet,In-store,2023-12-18,2023-12
3212,TXN_1665810,Sandwich,5.0,4.0,20.0,Digital Wallet,In-store,2023-02-26,2023-02
3213,TXN_1399696,Cake,5.0,3.0,15.0,Cash,In-store,2023-04-08,2023-04
3214,TXN_9154381,Cookie,2.0,1.0,2.0,Credit Card,In-store,2023-04-21,2023-04
3216,TXN_8361813,Cookie,3.0,1.0,3.0,Cash,In-store,2023-08-01,2023-08
3218,TXN_4754346,Juice,4.0,3.0,12.0,Credit Card,In-store,2023-08-31,2023-08
3228,TXN_4939667,Salad,1.0,5.0,5.0,Cash,Takeaway,2023-01-23,2023-01
3229,TXN_7126803,Sandwich,5.0,4.0,20.0,Digital Wallet,Takeaway,2023-05-24,2023-05
3231,TXN_5086063,Juice,3.0,3.0,9.0,Digital Wallet,Takeaway,2023-09-28,2023-09
3242,TXN_6854151,Sandwich,3.0,4.0,12.0,Credit Card,In-store,2023-02-07,2023-02
3246,TXN_8133627,Cake,5.0,3.0,15.0,Cash,In-store,2023-08-15,2023-08
3250,TXN_5117140,Cookie,5.0,1.0,5.0,Digital Wallet,Takeaway,2023-08-17,2023-08
3256,TXN_4036747,Smoothie,1.0,4.0,4.0,Cash,Takeaway,2023-05-27,2023-05
3261,TXN_9720549,Cookie,1.0,1.0,1.0,Credit Card,In-store,2023-07-30,2023-07
3264,TXN_5901182,Sandwich,5.0,4.0,20.0,Digital Wallet,In-store,2023-07-15,2023-07
3266,TXN_1923984,Cake,2.0,3.0,6.0,Credit Card,Takeaway,2023-08-31,2023-08
3273,TXN_1315847,Cake,1.0,3.0,3.0,Digital Wallet,In-store,2023-06-19,2023-06
3275,TXN_1464150,Coffee,5.0,2.0,10.0,Cash,Takeaway,2023-02-14,2023-02
3281,TXN_1775278,Juice,4.0,3.0,12.0,Credit Card,Takeaway,2023-02-22,2023-02
